"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"312970 Ibiraci",0,0,1,3,2,0,1,0,1,5,2,5,2,4,5,5,2,2,2,2,6,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,61
"312980 Ibirité",10,19,25,57,63,81,69,41,61,62,114,75,54,63,60,25,52,49,52,16,10,5,5,5,2,4,0,5,5,2,9,6,9,9,12,7,9,7,16,9,20,0,1204
"312990 Ibitiúra de Minas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"313000 Ibituruna",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"313005 Icaraí de Minas",0,0,0,0,0,1,3,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"313010 Igarapé",2,11,18,17,22,25,14,2,0,30,22,32,31,25,15,11,8,7,32,13,2,8,2,5,6,3,2,1,4,3,4,3,2,7,6,5,7,5,7,5,11,10,445
"313020 Igaratinga",0,2,1,0,0,1,1,0,0,0,2,3,2,2,1,1,1,7,3,3,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,4,4,4,1,4,4,3,60
"313030 Iguatama",1,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,16
"313040 Ijaci",0,0,1,0,0,0,1,0,0,1,2,2,8,9,12,7,25,26,28,28,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
"313050 Ilicínea",0,1,0,1,0,0,0,3,2,0,7,4,3,4,1,0,0,11,2,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,2,3,2,2,1,60
"313055 Imbé de Minas",0,0,0,0,0,0,0,0,1,1,1,3,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"313060 Inconfidentes",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"313065 Indaiabira",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"313070 Indianópolis",0,0,0,0,0,2,0,0,0,2,3,1,2,4,2,3,6,5,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,40
"313080 Ingaí",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313090 Inhapim",0,3,3,1,7,2,0,2,3,2,7,22,20,28,19,9,13,14,9,6,5,11,9,3,1,1,0,0,1,5,0,0,0,2,1,1,0,0,0,1,1,0,212
"313100 Inhaúma",0,0,0,0,1,0,1,1,4,6,10,5,3,0,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39
"313110 Inimutaba",1,1,1,0,0,2,1,5,3,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22
"313115 Ipaba",8,5,3,4,4,4,1,2,7,2,8,5,1,2,5,3,3,1,5,5,4,4,4,0,0,2,1,2,2,6,0,0,0,1,1,0,0,1,2,0,0,0,108
"313120 Ipanema",0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"313130 Ipatinga",50,65,57,81,87,72,57,47,47,40,39,32,32,28,26,22,25,21,42,40,53,30,40,36,26,17,9,21,7,17,13,16,14,22,18,30,38,19,16,4,1,0,1357
"313140 Ipiaçu",1,4,1,3,7,1,8,13,3,7,4,9,12,20,24,12,12,6,7,5,7,11,5,6,8,3,4,2,2,3,2,5,2,1,1,2,0,0,0,0,1,0,224
"313150 Ipuiúna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313160 Iraí de Minas",0,1,0,0,4,6,5,5,15,11,7,12,7,7,12,13,7,4,4,5,9,10,4,2,2,0,0,0,0,0,0,0,0,1,4,1,3,0,0,3,1,4,169
"313170 Itabira",1,3,3,2,3,3,4,3,0,0,0,3,2,0,4,6,1,1,3,1,4,0,3,0,2,1,1,1,0,0,2,2,1,1,1,2,2,4,2,5,2,0,79
"313180 Itabirinha de Mantena",1,1,0,6,5,1,0,2,2,1,0,0,4,2,0,0,0,1,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"313190 Itabirito",0,0,2,2,3,1,0,0,1,0,0,2,0,0,3,5,1,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,2,32
"313200 Itacambira",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"313210 Itacarambi",0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"313220 Itaguara",0,0,0,0,1,4,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"313230 Itaipé",0,0,0,0,2,0,4,0,2,4,5,0,4,1,7,3,5,5,0,3,6,3,6,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"313240 Itajubá",4,12,8,9,15,16,21,28,53,58,79,96,152,175,160,166,191,168,234,179,120,79,56,46,21,16,13,10,3,5,1,10,0,6,6,12,9,4,3,6,0,0,2250
"313250 Itamarandiba",0,1,0,8,3,5,2,4,4,0,4,5,3,2,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,51
"313260 Itamarati de Minas",0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"313270 Itambacuri",4,5,0,8,5,6,5,10,6,2,11,9,2,1,1,4,5,7,3,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,104
"313280 Itambé do Mato Dentro",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"313290 Itamogi",0,0,1,0,1,0,1,1,2,0,1,4,2,6,5,2,3,1,8,5,4,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61
"313300 Itamonte",0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"313310 Itanhandu",0,0,0,0,0,1,0,0,1,1,1,1,1,0,2,0,1,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"313320 Itanhomi",3,4,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"313330 Itaobim",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,16
"313340 Itapagipe",15,53,68,78,102,107,120,122,142,97,90,71,85,71,54,53,37,27,39,39,29,26,20,11,14,11,8,8,11,6,9,3,5,7,4,4,6,8,9,5,4,4,1682
"313350 Itapecerica",3,5,2,2,0,3,3,13,15,14,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"313360 Itapeva",1,0,1,3,0,2,2,8,1,2,6,1,0,1,5,6,0,3,2,3,3,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,7,2,68
"313370 Itatiaiuçu",8,29,27,46,42,30,14,21,18,24,20,12,17,22,15,1,9,5,15,3,12,17,5,13,14,12,5,5,7,13,10,11,4,17,13,5,8,12,14,13,16,2,606
"313375 Itaú de Minas",1,0,1,0,2,3,5,2,3,0,2,2,3,0,5,0,1,0,3,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,7,1,4,52
"313380 Itaúna",1,1,2,0,1,1,0,1,0,3,1,0,3,5,7,4,5,1,7,1,3,3,6,6,1,4,0,0,0,11,15,1,0,0,1,1,2,0,0,0,0,0,98
"313390 Itaverava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11
"313400 Itinga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313410 Itueta",0,0,0,0,1,0,2,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,13
"313420 Ituiutaba",0,7,9,14,22,21,25,32,43,44,41,39,71,102,55,115,90,103,91,80,39,98,62,53,13,41,27,16,7,15,16,3,0,1,3,5,1,7,1,13,14,9,1448
"313430 Itumirim",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"313440 Iturama",152,394,286,354,275,345,189,133,102,121,93,65,32,32,19,14,16,13,13,12,14,16,6,4,7,0,3,1,2,0,2,4,9,0,3,1,1,2,1,0,8,0,2744
"313450 Itutinga",0,2,2,2,5,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"313460 Jaboticatubas",0,0,0,1,4,3,2,3,3,2,5,2,4,6,3,2,4,3,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,3,60
"313470 Jacinto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313480 Jacuí",0,0,0,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"313490 Jacutinga",2,2,2,10,6,8,11,40,40,22,64,38,70,69,60,27,64,44,43,17,17,12,6,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,681
"313500 Jaguaraçu",0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"313505 Jaíba",1,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"313507 Jampruca",0,0,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"313510 Janaúba",18,20,18,34,32,33,46,48,60,47,31,30,40,33,29,28,19,20,26,20,25,19,23,29,9,5,12,8,10,5,7,8,6,5,12,12,4,8,10,14,13,9,885
"313520 Januária",5,1,5,6,2,0,3,1,1,2,1,2,0,0,3,3,1,0,0,0,0,0,1,0,3,2,1,0,0,2,1,1,1,3,1,3,4,24,14,10,9,12,128
"313530 Japaraíba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313535 Japonvar",0,0,0,1,4,1,2,0,3,2,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"313540 Jeceaba",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"313545 Jenipapo de Minas",1,2,2,3,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16
"313550 Jequeri",0,1,0,0,1,3,3,2,0,0,2,0,7,18,19,17,12,16,19,12,8,5,6,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161
"313560 Jequitaí",1,2,0,0,1,1,1,4,3,3,4,1,1,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"313570 Jequitibá",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313580 Jequitinhonha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313590 Jesuânia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"313600 Joaíma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
"313610 Joanésia",0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12
"313620 João Monlevade",2,0,5,4,7,6,3,5,2,3,4,4,7,4,4,3,5,1,6,4,3,1,2,3,2,0,0,2,2,0,0,0,1,0,0,0,1,2,9,3,3,2,115
"313630 João Pinheiro",0,0,2,2,2,2,3,6,2,2,2,4,5,3,3,5,11,7,8,7,9,5,6,5,2,4,2,2,0,4,1,0,0,0,0,3,0,0,0,0,0,0,119
"313640 Joaquim Felício",0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"313650 Jordânia",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"313652 José Gonçalves de Minas",0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
"313655 José Raydan",0,0,0,0,0,3,25,26,21,10,23,11,15,4,9,8,4,2,3,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
"313657 Josenópolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313665 Juatuba",1,11,3,12,7,8,10,15,23,12,34,29,23,29,31,29,15,21,22,10,8,2,1,0,0,0,2,0,1,0,1,0,1,0,1,1,2,0,1,0,0,0,366
"313670 Juiz de Fora",6,27,31,47,43,78,90,140,112,98,189,268,258,211,264,195,282,219,281,267,187,125,180,103,111,40,44,23,39,18,16,8,13,11,10,5,6,6,15,8,7,1,4082
"313680 Juramento",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"313690 Juruaia",0,1,0,0,0,0,0,0,0,1,1,0,0,4,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16
"313695 Juvenília",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"313700 Ladainha",0,1,2,0,1,0,0,1,0,0,2,1,1,1,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"313710 Lagamar",0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,3,3,2,2,4,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30
"313720 Lagoa da Prata",5,14,9,11,14,13,13,19,21,25,25,28,27,28,29,20,11,17,28,19,19,18,18,6,4,1,5,3,3,2,0,5,0,3,4,4,0,5,4,11,4,7,502
"313730 Lagoa dos Patos",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,13
"313740 Lagoa Dourada",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"313750 Lagoa Formosa",0,0,1,2,3,2,13,3,5,3,0,1,4,8,3,1,4,6,3,0,0,1,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,1,1,0,0,72
"313753 Lagoa Grande",0,2,0,0,0,3,2,5,16,9,10,12,14,14,11,9,18,17,16,28,15,29,27,31,12,10,11,7,6,8,1,1,0,2,0,0,0,0,0,0,0,0,346
"313760 Lagoa Santa",11,12,12,22,12,12,23,21,33,24,35,44,31,18,16,10,17,7,19,10,8,5,5,11,8,3,3,2,1,1,7,4,0,0,1,4,2,0,3,1,2,1,461
"313770 Lajinha",0,0,2,13,0,0,0,5,4,0,0,2,3,6,6,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"313780 Lambari",0,0,0,0,0,2,1,2,1,0,3,4,10,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"313790 Lamim",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
"313800 Laranjal",0,0,2,1,1,1,2,0,7,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"313810 Lassance",1,1,1,2,4,5,6,2,2,1,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,34
"313820 Lavras",3,9,9,5,8,12,19,15,13,15,6,7,9,27,18,16,34,27,49,33,15,15,11,3,6,2,2,3,1,0,0,0,0,0,1,0,0,3,1,1,0,1,399
"313830 Leandro Ferreira",0,2,0,0,0,2,0,2,1,0,0,0,0,4,1,0,1,0,1,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21
"313835 Leme do Prado",0,0,0,0,1,0,0,1,0,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"313840 Leopoldina",0,1,3,3,4,5,6,14,12,6,11,9,12,15,15,9,12,13,18,4,9,8,9,6,2,3,0,0,0,2,0,0,0,1,0,1,0,0,1,1,2,2,219
"313850 Liberdade",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"313860 Lima Duarte",0,0,1,3,1,0,0,0,2,2,5,5,6,6,3,2,6,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,56
"313862 Limeira do Oeste",3,11,17,24,23,24,19,28,28,18,35,24,34,27,18,23,10,10,7,12,5,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,412
"313865 Lontra",0,0,1,3,1,0,0,1,5,0,1,5,1,1,0,0,1,2,1,1,1,3,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"313867 Luisburgo",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"313868 Luislândia",1,1,3,11,20,11,28,36,32,19,14,21,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"313870 Luminárias",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
"313880 Luz",2,1,5,1,3,7,13,4,9,21,37,32,18,16,16,16,14,23,10,4,3,5,6,5,0,0,1,2,0,0,2,0,0,0,0,0,1,1,1,0,0,0,279
"313890 Machacalis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"313900 Machado",1,0,2,5,1,2,3,2,4,2,3,0,0,4,4,0,0,5,4,4,3,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"313910 Madre de Deus de Minas",0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"313920 Malacacheta",0,0,0,0,3,3,4,0,3,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"313925 Mamonas",0,0,2,2,2,2,1,3,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,23
"313930 Manga",1,1,1,0,0,4,2,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,23
"313940 Manhuaçu",0,2,0,0,0,0,1,3,2,1,3,2,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,2,1,1,0,5,2,37
"313950 Manhumirim",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"313960 Mantena",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3
"313980 Mar de Espanha",0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"313970 Maravilhas",0,0,0,0,0,0,0,0,0,2,3,5,7,7,5,5,4,0,1,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"313990 Maria da Fé",0,0,0,0,3,0,0,2,0,0,3,1,1,2,2,2,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"314000 Mariana",0,1,0,3,1,7,9,10,5,8,10,7,13,17,17,10,12,10,15,7,4,7,2,3,0,2,2,1,0,0,0,0,0,0,1,0,4,1,2,0,2,0,193
"314010 Marilac",0,0,3,3,4,3,0,3,1,3,9,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43
"314015 Mário Campos",0,1,1,4,7,2,7,6,3,1,4,0,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"314020 Maripá de Minas",7,13,31,10,21,28,26,28,36,21,34,23,20,27,11,2,8,0,0,6,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,360
"314030 Marliéria",0,0,0,0,1,1,0,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"314040 Marmelópolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314050 Martinho Campos",0,1,1,4,2,3,0,2,6,1,5,12,4,5,8,7,4,5,3,3,4,3,5,2,2,0,2,5,0,1,1,0,2,0,3,1,6,5,3,0,2,0,123
"314053 Martins Soares",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5
"314055 Mata Verde",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"314060 Materlândia",0,0,1,4,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"314070 Mateus Leme",1,0,6,0,8,6,3,1,5,2,3,2,4,4,5,2,3,4,8,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,81
"317150 Mathias Lobato",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"314080 Matias Barbosa",0,3,11,11,19,17,25,25,34,20,37,51,50,32,50,26,30,14,26,9,13,3,4,1,1,4,6,3,1,0,0,0,0,0,0,0,2,1,1,1,2,0,533
"314085 Matias Cardoso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314090 Matipó",0,0,0,0,3,10,6,5,2,8,9,6,4,2,2,1,1,2,1,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,69
"314100 Mato Verde",0,0,1,0,0,0,0,1,3,3,3,2,2,1,4,0,3,3,4,1,1,3,0,4,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,1,0,47
"314110 Matozinhos",0,3,3,3,2,2,10,1,10,2,3,1,2,7,2,0,4,3,4,3,3,1,1,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,6,1,1,86
"314120 Matutina",0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
