"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"312230 Divinópolis",6,17,23,33,49,71,120,174,189,106,151,138,122,127,140,74,108,102,97,113,57,48,68,64,27,13,15,11,6,15,8,7,1,10,8,7,7,7,11,6,3,1,2360
"312235 Divisa Alegre",0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
"312240 Divisa Nova",0,0,1,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,1,16
"312245 Divisópolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"312247 Dom Bosco",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"312250 Dom Cavati",0,3,0,3,1,7,2,12,2,1,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"312260 Dom Joaquim",0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12
"312270 Dom Silvério",0,0,0,2,0,0,0,1,0,0,3,8,6,6,8,2,1,1,4,7,5,4,6,3,3,10,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,86
"312280 Dom Viçoso",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"312290 Dona Euzébia",1,6,9,8,6,17,16,6,13,2,9,9,17,11,10,4,6,2,5,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
"312300 Dores de Campos",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
